Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
33.000000,17.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,15.27
38.500000,0.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,1,1.98
42.300000,18.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,1,4.80
38.900000,2.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,5,39.29
41.300000,10.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",PRT,pots_and_traps,1,0.30
40.000000,9.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,0.78
43.400000,10.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,other_purse_seines,6,100.29
39.000000,25.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,trawlers,7,31.94
39.600000,24.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,7,67.78
44.400000,12.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,45,704.37
42.400000,15.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,3,38.72
36.600000,-2.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,1,11.42
44.500000,13.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,4,211.17
39.700000,15.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,0.68
40.300000,14.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,pots_and_traps,1,11.25
42.400000,15.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,set_gillnets,1,0.52
36.500000,12.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,2,53.34
36.900000,-1.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,3,30.44
40.200000,24.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,other_purse_seines,3,143.05
38.400000,25.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,drifting_longlines,1,2.37
36.700000,12.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,6,31.38
37.700000,-0.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,8,106.09
35.300000,32.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,drifting_longlines,1,2.44
38.300000,13.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,2,8.32
38.300000,22.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,4,320.32
38.500000,-0.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,other_purse_seines,1,0.09
36.100000,23.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,2.41
43.400000,14.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,8,42.07
38.500000,8.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,trawlers,1,6.12
39.800000,4.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,3,98.06
38.000000,20.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,1,197.33
37.900000,27.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,2,5.32
38.700000,2.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,fishing,1,0.88
39.100000,3.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,3,62.60
42.500000,14.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,dredge_fishing,1,181.92
35.600000,12.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",PRT,fishing,1,10.21
40.900000,8.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,9,1240.21
35.800000,15.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",PRT,fishing,1,26.91
37.000000,11.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,9,56.56
38.700000,2.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,11.31
44.500000,37.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",RUS,trawlers,1,0.28
39.100000,18.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,0.60
37.200000,26.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,drifting_longlines,1,9.13
38.200000,8.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,11.25
42.700000,4.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,1,3.09
