sci;AphiaID;phylum;class;order;family;genus;species;valid_name;status;code;length;lengthC;length_ref;lifespan;lifespanC;lifespan_ref;fecundity;fecundityC;fecundity_ref;develop;develop_ref;vertical;vertical_ref;ComDepthMin;ComDepthMax;DepthPref;DepthMin;DepthMax;diet;diet_ref;troph;troph_ref;TempPrefMin;TempPrefMax;TempPref;TempPrefMean;pref_ref;freq.r;freq.st
Acantholabrus palloni;126957;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Acantholabrus;palloni;Acantholabrus palloni;accepted;ACATPAL;25;2;Koutsidi_2023;11,198;3;Phylosem;160631;4;Coulon_2022_global;guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;85;243;1;30;500;carnivorous;Coulon_2023;3,5;Koutsidi_2023;7,099999905;15,10000038;1;9,899999619;fishbase;120;0,46
Alepocephalus rostratus;126684;Chordata;Teleostei;Alepocephaliformes;Alepocephalidae;Alepocephalus;rostratus;Alepocephalus rostratus;accepted;ALEPROS;61;3;TL_fishbase;23;3;Fishbase_med;3753,5;4;Coulon_2022_global;non-guarder;Coulon_2022_global;demersal;Fishbase_global;563;1114;4;300;2250;planktivorous;Coulon_2023;3,67;Fishbase_global_1;4,5;13,5;1;8,5;fishbase;192;0,74
Alopias vulpinus;105836;Chordata;Elasmobranchii;Lamniformes;Alopiidae;Alopias;vulpinus;Alopias vulpinus;accepted;ALOPVUL;573,3;3;TL_fishbase;25,75;3;Fishbase_estim_global;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_global;pelagic;Beukhof_2019_global;0;200;1;0;650;generalist;Coulon_2023;4,5;Fishbase_global_1;11,60000038;28,20000076;4;23,29999924;fishbase;1;0
Alosa alosa;126413;Chordata;Teleostei;Clupeiformes;Alosidae;Alosa;alosa;Alosa alosa;accepted;ALOSALO;69;3;TL_fishbase;10,414;3;Phylosem;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;42;145;1;10;300;generalist;Coulon_2023;2,95;Fishbase_global_1;7;15,60000038;1;10,10000038;fishbase;21;0,08
Alosa fallax;126415;Chordata;Teleostei;Clupeiformes;Alosidae;Alosa;fallax;Alosa fallax;accepted;ALOSFAL;55;3;Koutsidi_2023;12;3;Koutsidi_2023;162500;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;55;189;1;10;400;generalist;Coulon_2023;4,03;Koutsidi_2023;8,699999809;19,29999924;1;10,80000019;fishbase;637;2,46
Anguilla anguilla;126281;Chordata;Teleostei;Anguilliformes;Anguillidae;Anguilla;anguilla;Anguilla anguilla;accepted;ANGUANG;100;3;Koutsidi_2023;85;3;Koutsidi_2023;2500000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;85;310;2;0;700;generalist;Coulon_2023;3,55;Koutsidi_2023;3;14,5;1;7,900000095;fishbase;6;0,02
Anthias anthias;127031;Chordata;Teleostei;Perciformes;Serranidae;Anthias;anthias;Anthias anthias;accepted;ANTHANT;18;2;Koutsidi_2023;15,72;3;Phylosem;937291;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;30;50;1;3;300;generalist;Coulon_2023;3,75;Koutsidi_2023;14,39999962;24,89999962;3;18,29999924;fishbase;304;1,17
Aphia minuta;126868;Chordata;Teleostei;Gobiiformes;Gobiidae;Aphia;minuta;Aphia minuta;accepted;APHIMIN;7,9;1;TL_fishbase;0,670000017;1;Fishbase_med;706801,9531;4;Fishbase_estim_med;guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;5;80;1;0;97;planktivorous;Coulon_2023;3,1;Fishbase_global_2;7,599999905;18,60000038;1;10,80000019;fishbase;877;3,38
Apogon imberbis;273021;Chordata;Teleostei;Kurtiformes;Apogonidae;Apogon;imberbis;Apogon imberbis;accepted;APOGIMB;15;2;Koutsidi_2023;7;3;Koutsidi_2023;11683;4;Koutsidi_2023;bearer;Fishbase_global;benthic;Fishbase_global;30;101;1;10;200;carnivorous;fishbase_global;3,8;Koutsidi_2023;13,30000019;20,89999962;2;16,29999924;fishbase;11;0,04
Apterichtus caecus;126312;Chordata;Teleostei;Anguilliformes;Ophichthidae;Apterichtus;caecus;Apterichtus caecus;accepted;APTECAE;60;3;TL_fishbase;15,138;3;Phylosem;346058,3434;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;8;43;1;0;85;generalist;fishbase_global;4,06;Fishbase_global_2;16,10000038;21;2;19,10000038;fishbase;13;0,05
