Species;Date;Fish_ID;Mes_nr;Treatment;Weight;SMR;MMR;AS;Comment;Chambersize;Temperature;Sex
Zebrafish;20-02-2023;L1;1;L;0.0024;0.002429565;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L2;1;L;0.0053;0.003706791;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L3;1;L;0.006;0.003545331;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L4;1;L;0.0051;0.003853504;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L5;1;L;0.0066;0.003658571;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L6;1;L;0.0035;0.002809758;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L7;1;L;0.0021;0.001463999;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L8;1;L;0.0015;0.001320058;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L9;1;L;0.0057;0.0043822;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L10;1;L;0.0106;0.007273129;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L11;1;L;0.0037;0.003363457;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L12;1;L;0.0032;0.00232614;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L13;1;L;0.0022;0.001015041;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L14;1;L;0.0047;0.002911088;NA;NA;;0.002182;27.82571942;NA
Zebrafish;20-02-2023;L15;1;L;0.0078;0.003903371;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M1;1;M;9.00E-04;0.00069494;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M2;1;M;0.0055;0.00277703;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M3;1;M;0.0065;0.002053805;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M4;1;M;0.0019;0.000460997;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M5;1;M;0.0084;0.005277373;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M6;1;M;0.0016;0.001079192;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M7;1;M;0.0053;0.00291148;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M8;1;M;0.0021;0.000868476;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M9;1;M;0.0017;0.001292753;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M10;1;M;0.0044;0.003198512;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M11;1;M;0.0044;0.003266147;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M12;1;M;0.0047;0.002445147;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M13;1;M;0.0042;0.002880157;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M14;1;M;0.0021;0.001173511;NA;NA;;0.002182;27.82571942;NA
Zebrafish;21-02-2023;M15;1;M;0.0034;0.001995781;NA;NA;;0.002182;27.82571942;NA
