fishID,Date,Chamber,SMR,sdSMR,MaxMR,MinMR,FirstMR,MeanTemp...C.,Weight..kg.,Chamber.Volume..L.,BlankCorrection,Species,TL,SL,W,Close_Time,Flush_Time,Vol_Ch,Nb_Ch,Catch_Date,Run_Date,Close_Time_Blank,Flush_Time_Blank,Note,Capture,Firesting,Data,DataBlank,Vol_Ch_Bl,Nb_Ch_Bl,Start_Time,Start_Time_Bl,Chambersize,Manip,Etat
MOO18-R001,2018-03-17 16:53:25,1,0.0556187329,0.0009854298,0.1871138347,0.0542871355,0.2114820392,27.9418199183,0.000214,0.006659,YES,Gnatholepis cauerensis,29.46,23.63,0.000214,180,180,0.006659,1,16/03/2018,17/03/2018,420,180,,Lagon,FS1,FS1_17-03-18.txt,FS1blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R002,2018-03-17 16:53:25,2,0.0661954301,0.0012280309,0.1950132087,0.0637670101,0.2219342566,27.9406189009,0.000275,0.006659,YES,Gnatholepis cauerensis,32.55,27.31,0.000275,180,180,0.006659,2,16/03/2018,17/03/2018,420,180,,Lagon,FS1,FS1_17-03-18.txt,FS1blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R003,2018-03-17 16:53:25,3,0.050908134,0.0004752812,0.0894507255,0.0503419347,0.2114830371,27.9395969008,0.000222,0.006659,YES,Gnatholepis cauerensis,28.92,24.46,0.000222,180,180,0.006659,3,16/03/2018,17/03/2018,420,180,,Lagon,FS1,FS1_17-03-18.txt,FS1blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R004,2018-03-17 16:53:25,4,0.0578899751,0.0010945841,0.1941356872,0.0564916967,0.2086634573,27.9383314286,0.000228,0.006659,YES,Gnatholepis cauerensis,30.07,25.28,0.000228,180,180,0.006659,4,16/03/2018,17/03/2018,420,180,,Lagon,FS1,FS1_17-03-18.txt,FS1blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R005,2018-03-17 16:53:25,5,0.0265077569,0.0004552252,0.0626168493,0.0257109815,0.0993512627,27.8838191223,0.000075,0.006659,YES,Gnatholepis cauerensis,21.26,17.69,0.000075,180,180,0.006659,5,16/03/2018,17/03/2018,420,180,,Lagon,FS2,FS2_17-03-18.txt,FS2blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R006,2018-03-17 16:53:25,6,0.0357764137,0.0005598917,0.0688148248,0.0351574848,0.0753944926,27.8826471886,0.000091,0.006659,YES,Gnatholepis cauerensis,22.71,18.79,0.000091,180,180,0.006659,6,16/03/2018,17/03/2018,420,180,,Lagon,FS2,FS2_17-03-18.txt,FS2blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R007,2018-03-17 16:53:25,7,0.0557799898,0.0013836868,0.1973299708,0.0541025836,0.217719201,27.8817169133,0.000311,0.006659,YES,Gnatholepis cauerensis,34.32,28.09,0.000311,180,180,0.006659,7,16/03/2018,17/03/2018,420,180,,Lagon,FS2,FS2_17-03-18.txt,FS2blank_17-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R008,2018-03-18 14:59:13,1,0.0031909443,0.0002282057,0.0129427673,0.0029469149,0.0131444681,28.0446626773,0.000035,0.006659,YES,Eviota afelei,15.19,12.56,0.000035,540,180,0.006659,1,17/03/2018,18/03/2018,420,180,,Lagon,FS1,FS1_18-03-18.txt,FS1blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R009,2018-03-18 14:59:13,2,0.0016013188,0.0002251347,0.0088227246,0.0013792165,0.0101029715,28.0443814558,0.000025,0.006659,YES,Eviota afelei,12.83,11.01,0.000025,540,180,0.006659,2,17/03/2018,18/03/2018,420,180,,Lagon,FS1,FS1_18-03-18.txt,FS1blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R010,2018-03-18 14:59:13,3,-0.0039823496,0.0001241022,0.0090302646,-0.0041682313,0.0105397474,28.0444842463,0.000021,0.006659,YES,Eviota afelei,13.4,10.81,0.000021,540,180,0.006659,3,17/03/2018,18/03/2018,420,180,,Lagon,FS1,FS1_18-03-18.txt,FS1blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R011,2018-03-18 14:59:13,4,0.0053166923,0.0002102582,0.0149384184,0.0050464391,0.0139200124,28.0450604438,0.000043,0.006659,YES,Eviota afelei,16.71,13.63,0.000043,540,180,0.006659,4,17/03/2018,18/03/2018,420,180,,Lagon,FS1,FS1_18-03-18.txt,FS1blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R012,2018-03-18 14:59:13,5,0.005199176,0.0002773899,0.0119025219,0.0047461165,0.0125368261,27.9912119101,0.000035,0.006659,YES,Eviota afelei,15.33,12.65,0.000035,540,180,0.006659,5,17/03/2018,18/03/2018,420,180,,Lagon,FS2,FS2_18-03-18.txt,FS2blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R013,2018-03-18 14:59:13,6,0.0080019727,0.0001205513,0.0242084902,0.0078052875,0.0234689533,27.9928614633,0.000052,0.006659,YES,Eviota afelei,17.72,14.65,0.000052,540,180,0.006659,6,17/03/2018,18/03/2018,420,180,,Lagon,FS2,FS2_18-03-18.txt,FS2blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R014,2018-03-18 14:59:13,7,0.0033927601,0.0002572533,0.0090608492,0.003115466,0.0068628782,27.9950742165,0.000026,0.006659,YES,Eviota afelei,14.13,11.23,0.000026,540,180,0.006659,7,17/03/2018,18/03/2018,420,180,,Lagon,FS2,FS2_18-03-18.txt,FS2blank_18-03-18.txt,0.006659,8,NA,NA,XS,Reef_services,ok
MOO18-R015,2018-03-19 16:31:57,2,0.0354470694,0.0004795884,0.0538428895,0.0347131351,-0.0049151843,28.120779798,0.000107,0.006659,YES,Glyptoparus delicatulus,25.24,22.08,0.000107,180,180,0.006659,2,18/03/2018,19/03/2018,420,180,16:45:01,Lagon,FS1,FS1_19-03-18.txt,FS1blank_19-03-18.txt,0.006659,1,14:54:01,09:13:01,XS,Reef_services,ok
MOO18-R016,2018-03-19 16:31:57,3,0.0428951063,0.0003464317,0.0769815641,0.0423126085,-0.0065611881,28.120606437,0.000134,0.006659,YES,Glyptoparus delicatulus,26.9,23.15,0.000134,180,180,0.006659,3,18/03/2018,19/03/2018,420,180,16:45:01,Lagon,FS1,FS1_19-03-18.txt,FS1blank_19-03-18.txt,0.006659,1,14:54:01,09:13:01,XS,Reef_services,ok
MOO18-R017,2018-03-19 16:31:57,4,0.0293684483,0.0003160384,0.0499712278,0.0287595036,-0.0041331953,28.1199978409,0.000077,0.006659,YES,Glyptoparus delicatulus,22.66,19.41,0.000077,180,180,0.006659,4,18/03/2018,19/03/2018,420,180,16:45:01,Lagon,FS1,FS1_19-03-18.txt,FS1blank_19-03-18.txt,0.006659,1,14:54:01,09:13:01,XS,Reef_services,ok
MOO18-R018,2018-03-19 16:31:57,5,0.0375540847,0.00034135,0.0640655953,0.0369609669,-0.0031816578,28.0645738136,0.000133,0.006659,YES,Glyptoparus delicatulus,26.28,22.82,0.000133,180,180,0.006659,5,18/03/2018,19/03/2018,420,180,16:45:01,Lagon,FS1,FS1_19-03-18.txt,FS1blank_19-03-18.txt,0.006659,1,14:54:01,09:13:01,XS,Reef_services,ok
