id,key,n,c,p,location,sitename,sitenumber,lat,long,habitat,date,time,species,weight,tl,sl,sex,family,year
MOO18F083,AE1,10.4021108179,41.8794722955,2.6210347243,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Paracirrhites hemistictus,174.6,21,18,NA,Cirrhitidae,2018
MOO18F084,AE1,3.9625,27.3367708333,0.1955476731,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Zanclus cornutus,98.1,17,12.5,F,Zanclidae,2018
MOO18F085,AE1,1.8458947368,23.3099578947,0.3643836207,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Melichthys niger,204.1,22.4,19.2,NA,Balistidae,2018
MOO18F087,AE1,10.9722751323,40.482989418,3.210241566,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Paracirrhites hemistictus,142.3,20.2,17,NA,Cirrhitidae,2018
MOO18F089,AE1,3.7219512195,32.179695122,1.4665603931,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Melichthys vidua,160,18,15,NA,Balistidae,2018
MOO18F091,AE1,9.5540838852,46.3216997792,2.7332235812,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Sargocentron tiere,163.2,22.1,18.3,F,Holocentridae,2018
MOO18F092,AE1,9.0599141631,45.6366309013,0.9555418678,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Chaetodon vagabundus,63.7,14,11.5,F,Chaetodontidae,2018
MOO18F096,AE1,4.0587124464,39.4606866953,0.4374625922,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Naso lituratus,292,32.3,18.9,NA,Acanthuridae,2018
MOO18F099,AE1,1.1642411642,19.6980873181,0.203219305,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,2018-03-23,10:10-12:00,Chlorurus spilurus,250.9,23.7,18.9,NA,Scaridae,2018
MOO18F103,AE1,0.9346236559,26.0327688172,0.2822125561,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Balistapus undulatus,258.5,22,18,NA,Balistidae,2018
MOO18F104,AE1,10.7044897959,41.4899234694,3.2210694484,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Aulostomus chinensis,122.3,42.5,40.3,F,Aulostomidae,2018
MOO18F107,AE1,7.7588269795,35.5769794721,3.6800914286,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Epibulus insidiator,88.7,17,13.7,F,Labridae,2018
MOO18F110,AE1,2.779245283,29.2860141509,1.2929025493,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Parupeneus multifasciatus,68.7,17.1,12.8,NA,Mullidae,2018
