species,id,biomass,biomass_dry,tl,C,N,P,location,source,Species,Family,max_size
Abudefduf_sexfasciatus,AB_SE_MO_03_16_001/002/003/004/005,2.9,0.71164,5.67372,33.82,10.45,3.871671178,Moorea,nectar_Parravicini,Abudefduf sexfasciatus,Pomacentridae,16
Acanthurus_achilles,AC_AC_SC_03_16_001,201.3,62.7642,24.551,41.18,9.44,3.228251697,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_002,173.1,52.0561,22.9649,43.97,10.54,2.244470038,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_003,147.4,47.6758,20.4517,47.98,9.92,2.378479596,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_004,162,52.6758,21.6417,41.78,8.48,2.851925145,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_005,176.5,55.6969,22.0536,46.6,10.42,2.460744673,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_006,136.8,40.3618,19.5416,44.01,10.53,1.561944148,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_007,129,41.7862,19.1726,46.39,9.84,1.099237442,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_008,141.3,45.8195,20.6451,44.76,9.63,2.861943669,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_009,116,35.7076,18.8684,47.59,11.13,2.709168699,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_achilles,AC_AC_SC_03_16_010,106.8,30.7087,19.2806,35.26,9.26,3.704309844,Moorea,nectar_Parravicini,Acanthurus achilles,Acanthuridae,24
Acanthurus_triostegus,AC_TR_MO_03_16_001/002/003/004/005,1.88,0.4103,4.17952,40.8,11.23,3.275473623,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_006,119.1,31.2108,19.3544,35.79,11.1,1.394207178,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_007,84.5,22.8772,17.4304,39.12,12.02,1.108866217,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_008,64.7,19.1177,15.3329,37.6,9.76,2.508343852,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_009,78,22.0409,16.6661,35.17,8.75,1.058074372,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_010,93.6,26.8107,17.5722,40.77,11.51,2.321921838,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_011,54.7,15.4692,14.7175,38.61,11.42,4.106499567,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
