"","species","Species","Family","max_size"
"1","Abalistes_stellatus","Abalistes stellatus","Balistidae",50
"2","Abudefduf_abdominalis","Abudefduf abdominalis","Pomacentridae",30
"3","Abudefduf_bengalensis","Abudefduf bengalensis","Pomacentridae",17
"4","Abudefduf_concolor","Abudefduf concolor","Pomacentridae",19
"5","Abudefduf_conformis","Abudefduf conformis","Pomacentridae",13.1
"6","Abudefduf_luridus","Abudefduf luridus","Pomacentridae",15
"7","Abudefduf_natalensis","Abudefduf natalensis","Pomacentridae",13
"8","Abudefduf_notatus","Abudefduf notatus","Pomacentridae",17
"9","Abudefduf_saxatilis","Abudefduf saxatilis","Pomacentridae",22.89999962
"10","Abudefduf_septemfasciatus","Abudefduf septemfasciatus","Pomacentridae",23
"11","Abudefduf_sexfasciatus","Abudefduf sexfasciatus","Pomacentridae",16
"12","Abudefduf_sordidus","Abudefduf sordidus","Pomacentridae",23
"13","Abudefduf_sparoides","Abudefduf sparoides","Pomacentridae",16
"14","Abudefduf_troschelii","Abudefduf troschelii","Pomacentridae",20
"15","Abudefduf_vaigiensis","Abudefduf vaigiensis","Pomacentridae",20
"16","Abudefduf_whitleyi","Abudefduf whitleyi","Pomacentridae",14
"17","Acanthistius_cinctus","Acanthistius cinctus","Serranidae",50
"18","Acanthochromis_polyacanthus","Acanthochromis polyacanthus","Pomacentridae",14
"19","Acanthostracion_polygonius","Acanthostracion polygonius","Ostraciidae",50
"20","Acanthostracion_quadricornis","Acanthostracion quadricornis","Ostraciidae",55
"21","Acanthurus_achilles","Acanthurus achilles","Acanthuridae",24
"22","Acanthurus_albipectoralis","Acanthurus albipectoralis","Acanthuridae",33
"23","Acanthurus_auranticavus","Acanthurus auranticavus","Acanthuridae",45
"24","Acanthurus_bahianus","Acanthurus bahianus","Acanthuridae",38.09999847
"25","Acanthurus_bariene","Acanthurus bariene","Acanthuridae",50
"26","Acanthurus_blochii","Acanthurus blochii","Acanthuridae",45
"27","Acanthurus_chirurgus","Acanthurus chirurgus","Acanthuridae",39
"28","Acanthurus_coeruleus","Acanthurus coeruleus","Acanthuridae",39
"29","Acanthurus_dussumieri","Acanthurus dussumieri","Acanthuridae",54
"30","Acanthurus_fowleri","Acanthurus fowleri","Acanthuridae",45
"31","Acanthurus_grammoptilus","Acanthurus grammoptilus","Acanthuridae",35
"32","Acanthurus_guttatus","Acanthurus guttatus","Acanthuridae",26
"33","Acanthurus_leucocheilus","Acanthurus leucocheilus","Acanthuridae",45
"34","Acanthurus_leucopareius","Acanthurus leucopareius","Acanthuridae",24
"35","Acanthurus_leucosternon","Acanthurus leucosternon","Acanthuridae",54
"36","Acanthurus_lineatus","Acanthurus lineatus","Acanthuridae",38
"37","Acanthurus_maculiceps","Acanthurus maculiceps","Acanthuridae",40
"38","Acanthurus_mata","Acanthurus mata","Acanthuridae",50
"39","Acanthurus_monroviae","Acanthurus monroviae","Acanthuridae",45
"40","Acanthurus_nigricans","Acanthurus nigricans","Acanthuridae",21.3
"41","Acanthurus_nigricauda","Acanthurus nigricauda","Acanthuridae",40
"42","Acanthurus_nigrofuscus","Acanthurus nigrofuscus","Acanthuridae",21
"43","Acanthurus_nigroris","Acanthurus nigroris","Acanthuridae",25
"44","Acanthurus_nubilus","Acanthurus nubilus","Acanthuridae",26
"45","Acanthurus_olivaceus","Acanthurus olivaceus","Acanthuridae",35
"46","Acanthurus_pyroferus","Acanthurus pyroferus","Acanthuridae",25
"47","Acanthurus_reversus","Acanthurus reversus","Acanthuridae",21.6
"48","Acanthurus_sohal","Acanthurus sohal","Acanthuridae",40
"49","Acanthurus_tennentii","Acanthurus tennentii","Acanthuridae",31
"50","Acanthurus_thompsoni","Acanthurus thompsoni","Acanthuridae",27
"51","Acanthurus_triostegus","Acanthurus triostegus","Acanthuridae",27
"52","Acanthurus_tristis","Acanthurus tristis","Acanthuridae",25
"53","Acanthurus_xanthopterus","Acanthurus xanthopterus","Acanthuridae",70
"54","Aethaloperca_rogaa","Aethaloperca rogaa","Serranidae",60
"55","Alphestes_immaculatus","Alphestes immaculatus","Serranidae",30
"56","Aluterus_scriptus","Aluterus scriptus","Monacanthidae",110
"57","Amanses_scopas","Amanses scopas","Monacanthidae",20
"58","Amblycirrhitus_pinos","Amblycirrhitus pinos","Cirrhitidae",9.5
"59","Amblyglyphidodon_aureus","Amblyglyphidodon aureus","Pomacentridae",13
"60","Amblyglyphidodon_batunai","Amblyglyphidodon batunai","Pomacentridae",10
"61","Amblyglyphidodon_curacao","Amblyglyphidodon curacao","Pomacentridae",11
"62","Amblyglyphidodon_indicus","Amblyglyphidodon indicus","Pomacentridae",8.3
"63","Amblyglyphidodon_leucogaster","Amblyglyphidodon leucogaster","Pomacentridae",13
"64","Amblyglyphidodon_melanopterus","Amblyglyphidodon melanopterus","Pomacentridae",10.1
"65","Amblyglyphidodon_orbicularis","Amblyglyphidodon orbicularis","Pomacentridae",8.3
"66","Amblyglyphidodon_ternatensis","Amblyglyphidodon ternatensis","Pomacentridae",10
"67","Amphichaetodon_howensis","Amphichaetodon howensis","Chaetodontidae",18
"68","Amphiprion_akallopisos","Amphiprion akallopisos","Pomacentridae",11
"69","Amphiprion_akindynos","Amphiprion akindynos","Pomacentridae",9
"70","Amphiprion_allardi","Amphiprion allardi","Pomacentridae",15
"71","Amphiprion_bicinctus","Amphiprion bicinctus","Pomacentridae",14
"72","Amphiprion_chrysopterus","Amphiprion chrysopterus","Pomacentridae",17
"73","Amphiprion_clarkii","Amphiprion clarkii","Pomacentridae",15
"74","Amphiprion_ephippium","Amphiprion ephippium","Pomacentridae",14
"75","Amphiprion_frenatus","Amphiprion frenatus","Pomacentridae",14
"76","Amphiprion_latezonatus","Amphiprion latezonatus","Pomacentridae",14
"77","Amphiprion_mccullochi","Amphiprion mccullochi","Pomacentridae",12
"78","Amphiprion_melanopus","Amphiprion melanopus","Pomacentridae",12
"79","Amphiprion_ocellaris","Amphiprion ocellaris","Pomacentridae",11
"80","Amphiprion_percula","Amphiprion percula","Pomacentridae",11
"81","Amphiprion_perideraion","Amphiprion perideraion","Pomacentridae",10
"82","Amphiprion_rubrocinctus","Amphiprion rubrocinctus","Pomacentridae",12
"83","Amphiprion_sandaracinos","Amphiprion sandaracinos","Pomacentridae",14
"84","Anampses_caeruleopunctatus","Anampses caeruleopunctatus","Labridae",42
"85","Anampses_cuvier","Anampses cuvier","Labridae",31
"86","Anampses_elegans","Anampses elegans","Labridae",29
"87","Anampses_femininus","Anampses femininus","Labridae",24
"88","Anampses_geographicus","Anampses geographicus","Labridae",31
"89","Anampses_lennardi","Anampses lennardi","Labridae",28
"90","Anampses_lineatus","Anampses lineatus","Labridae",13
"91","Anampses_melanurus","Anampses melanurus","Labridae",12
"92","Anampses_meleagrides","Anampses meleagrides","Labridae",22
"93","Anampses_neoguinaicus","Anampses neoguinaicus","Labridae",20
"94","Anampses_twistii","Anampses twistii","Labridae",18
"95","Anisotremus_caesius","Anisotremus caesius","Haemulidae",30
"96","Anisotremus_interruptus","Anisotremus interruptus","Haemulidae",51
"97","Anisotremus_scapularis","Anisotremus scapularis","Haemulidae",40
"98","Anisotremus_surinamensis","Anisotremus surinamensis","Haemulidae",76
"99","Anisotremus_taeniatus","Anisotremus taeniatus","Haemulidae",31
"100","Anisotremus_virginicus","Anisotremus virginicus","Haemulidae",40.59999847
"101","Anyperodon_leucogrammicus","Anyperodon leucogrammicus","Serranidae",65
"102","Aphareus_furca","Aphareus furca","Lutjanidae",70
"103","Apolemichthys_trimaculatus","Apolemichthys trimaculatus","Pomacanthidae",26
"104","Aprion_virescens","Aprion virescens","Lutjanidae",112
"105","Arothron_hispidus","Arothron hispidus","Tetraodontidae",50
"106","Arothron_manilensis","Arothron manilensis","Tetraodontidae",31
"107","Arothron_mappa","Arothron mappa","Tetraodontidae",65
