"","species","Family","max_size","sst"
"1","Chlorurus_microrhinos","Labridae",70,29.2358865361877
"3","Scarus_rubroviolaceus","Labridae",70,29.2358865361877
"4","Scarus_spinus","Labridae",30,29.2358865361877
"5","Chlorurus_sordidus","Labridae",40,29.2358865361877
"10","Scarus_oviceps","Labridae",35,29.2358865361877
"12","Acanthurus_nigricans","Acanthuridae",21.3,29.2358865361877
"15","Halichoeres_hortulanus","Labridae",27,29.2358865361877
"16","Pygoplites_diacanthus","Pomacanthidae",25,29.2358865361877
"18","Ctenochaetus_striatus","Acanthuridae",26,29.2358865361877
"22","Scarus_frenatus","Labridae",47,29.2358865361877
"23","Zebrasoma_scopas","Acanthuridae",40,29.2358865361877
"26","Zanclus_cornutus","Zanclidae",23,29.2358865361877
"28","Gomphosus_varius","Labridae",30,29.2358865361877
"30","Paracirrhites_arcatus","Cirrhitidae",20,29.2358865361877
"31","Epibulus_insidiator","Labridae",54,29.2358865361877
"32","Chaetodon_kleinii","Chaetodontidae",15,29.2358865361877
"34","Naso_brevirostris","Acanthuridae",60,29.2358865361877
"35","Naso_lituratus","Acanthuridae",46,29.2358865361877
"36","Naso_vlamingii","Acanthuridae",60,29.2358865361877
"37","Acanthurus_thompsoni","Acanthuridae",27,29.2358865361877
"38","Melichthys_vidua","Balistidae",40,29.2358865361877
"39","Macolor_macularis","Lutjanidae",60,29.2358865361877
"40","Lutjanus_gibbus","Lutjanidae",50,29.2358865361877
"41","Parupeneus_multifasciatus","Mullidae",35,29.2358865361877
"42","Lutjanus_bohar","Lutjanidae",90,29.2358865361877
"43","Parupeneus_insularis","Mullidae",30,29.2358865361877
"44","Cheilinus_undulatus","Labridae",229,29.2358865361877
"45","Cephalopholis_argus","Serranidae",60,29.2358865361877
"51","Hipposcarus_longiceps","Labridae",60,29.2358865361877
"54","Chlorurus_japanensis","Labridae",31,29.2358865361877
"55","Cetoscarus_bicolor","Labridae",90,29.2358865361877
"75","Labroides_bicolor","Labridae",15,29.2358865361877
"76","Centropyge_vrolikii","Pomacanthidae",12,29.2358865361877
"77","Cheilinus_fasciatus","Labridae",40,29.2358865361877
"78","Chaetodon_auriga","Chaetodontidae",23,29.2358865361877
"80","Chaetodon_vagabundus","Chaetodontidae",23,29.2358865361877
"83","Hemitaurichthys_polylepis","Chaetodontidae",18,29.2358865361877
"86","Naso_hexacanthus","Acanthuridae",75,29.2358865361877
"91","Melichthys_niger","Balistidae",50,29.2358865361877
"99","Macolor_niger","Lutjanidae",75,29.2358865361877
"102","Monotaxis_grandoculis","Lethrinidae",60,29.2358865361877
"105","Balistoides_viridescens","Balistidae",75,29.2358865361877
"106","Cantherhines_dumerilii","Monacanthidae",38,29.2358865361877
"121","Bodianus_mesothorax","Labridae",25,29.2358865361877
